date,platform,competitor,post_type,likes,comments,shares,sentiment
2025-04-01,Twitter,TechAble,text,120,15,10,positive
2025-04-02,Instagram,Accessify,image,340,34,45,positive
2025-04-03,Facebook,TechAble,video,220,25,30,neutral
2025-04-03,Twitter,EnableNow,text,90,8,5,negative
2025-04-04,Instagram,Accessify,video,430,50,60,positive
2025-04-05,Facebook,EnableNow,image,130,14,20,neutral
2025-04-06,Twitter,TechAble,text,110,12,8,positive
2025-04-06,Instagram,Accessify,image,310,40,33,neutral
2025-04-07,Facebook,EnableNow,video,180,20,15,negative
2025-04-07,Twitter,TechAble,image,200,18,25,positive
2025-04-08,Instagram,Accessify,video,500,55,70,positive
2025-04-09,Facebook,TechAble,text,160,16,22,neutral
2025-04-10,Twitter,EnableNow,text,100,10,8,negative
2025-04-10,Instagram,Accessify,image,370,45,40,positive
2025-04-11,Facebook,TechAble,video,240,30,32,positive
2025-04-11,Twitter,Accessify,text,220,25,18,neutral
2025-04-12,Instagram,EnableNow,image,150,20,14,positive
2025-04-13,Facebook,Accessify,video,390,35,60,positive
2025-04-14,Twitter,TechAble,text,130,14,16,neutral
2025-04-15,Instagram,EnableNow,video,250,28,22,neutral
